Category,Pattern,Problem,URL
"XIII. Array/Matrix Manipulation Patterns","Pattern 74: Array/Matrix - In-place Rotation","189. Rotate Array","https://leetcode.com/problems/rotate-array/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 75: Array/Matrix - Spiral Traversal","54. Spiral Matrix","https://leetcode.com/problems/spiral-matrix/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 75: Array/Matrix - Spiral Traversal","885. Spiral Matrix III","https://leetcode.com/problems/spiral-matrix-iii/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 75: Array/Matrix - Spiral Traversal","2326. Spiral Matrix IV","https://leetcode.com/problems/spiral-matrix-iv/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 76: Array/Matrix - Set Matrix Zeroes (In-place Marking)","73. Set Matrix Zeroes","https://leetcode.com/problems/set-matrix-zeroes/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 77: Array - Product Except Self (Prefix/Suffix Products)","238. Product of Array Except Self","https://leetcode.com/problems/product-of-array-except-self/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 78: Array - Plus One (Handling Carry)","66. Plus One","https://leetcode.com/problems/plus-one/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 79: Array - Merge Sorted Array (In-place from End)","88. Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 80: Array - Cyclic Sort","41. First Missing Positive","https://leetcode.com/problems/first-missing-positive/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 80: Array - Cyclic Sort","268. Missing Number","https://leetcode.com/problems/missing-number/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 80: Array - Cyclic Sort","287. Find the Duplicate Number","https://leetcode.com/problems/find-the-duplicate-number/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 80: Array - Cyclic Sort","442. Find All Duplicates in an Array","https://leetcode.com/problems/find-all-duplicates-in-an-array/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 80: Array - Cyclic Sort","448. Find All Numbers Disappeared in an Array","https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/"
"XIII. Array/Matrix Manipulation Patterns","Pattern 81: Array - Kadane's Variant for Maximum Product","152. Maximum Product Subarray","https://leetcode.com/problems/maximum-product-subarray/"
"XIV. String Manipulation Patterns","Pattern 82: String - Palindrome Check (Two Pointers / Reverse)","9. Palindrome Number","https://leetcode.com/problems/palindrome-number/"
"XIV. String Manipulation Patterns","Pattern 82: String - Palindrome Check (Two Pointers / Reverse)","125. Valid Palindrome","https://leetcode.com/problems/valid-palindrome/"
"XIV. String Manipulation Patterns","Pattern 82: String - Palindrome Check (Two Pointers / Reverse)","680. Valid Palindrome II","https://leetcode.com/problems/valid-palindrome-ii/"
"XIV. String Manipulation Patterns","Pattern 83: String - Anagram Check (Frequency Count/Sort)","49. Group Anagrams","https://leetcode.com/problems/group-anagrams/"
"XIV. String Manipulation Patterns","Pattern 83: String - Anagram Check (Frequency Count/Sort)","242. Valid Anagram","https://leetcode.com/problems/valid-anagram/"
"XIV. String Manipulation Patterns","Pattern 84: String - Roman to Integer Conversion","13. Roman to Integer","https://leetcode.com/problems/roman-to-integer/"
"XIV. String Manipulation Patterns","Pattern 85: String - String to Integer (atoi)","8. String to Integer (atoi)","https://leetcode.com/problems/string-to-integer-atoi/"
"XIV. String Manipulation Patterns","Pattern 86: String - Multiply Strings (Manual Simulation)","43. Multiply Strings","https://leetcode.com/problems/multiply-strings/"
"XIV. String Manipulation Patterns","Pattern 87: String Matching - Naive / KMP / Rabin-Karp","28. Find the Index of the First Occurrence in a String","https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/"
"XIV. String Manipulation Patterns","Pattern 87: String Matching - Naive / KMP / Rabin-Karp","214. Shortest Palindrome","https://leetcode.com/problems/shortest-palindrome/"
"XIV. String Manipulation Patterns","Pattern 87: String Matching - Naive / KMP / Rabin-Karp","686. Repeated String Match","https://leetcode.com/problems/repeated-string-match/"
"XIV. String Manipulation Patterns","Pattern 87: String Matching - Naive / KMP / Rabin-Karp","796. Rotate String","https://leetcode.com/problems/rotate-string/"
"XIV. String Manipulation Patterns","Pattern 87: String Matching - Naive / KMP / Rabin-Karp","3008. Find Beautiful Indices in the Given Array II","https://leetcode.com/problems/find-beautiful-indices-in-the-given-array-ii/"
"XIV. String Manipulation Patterns","Pattern 88: String - Repeated Substring Pattern Detection","459. Repeated Substring Pattern","https://leetcode.com/problems/repeated-substring-pattern/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","146. LRU Cache","https://leetcode.com/problems/lru-cache/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","155. Min Stack","https://leetcode.com/problems/min-stack/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","208. Implement Trie (Prefix Tree)","https://leetcode.com/problems/implement-trie-prefix-tree/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","211. Design Add and Search Words Data Structure","https://leetcode.com/problems/design-add-and-search-words-data-structure/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","225. Implement Stack using Queues","https://leetcode.com/problems/implement-stack-using-queues/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","232. Implement Queue using Stacks","https://leetcode.com/problems/implement-queue-using-stacks/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","251. Flatten 2D Vector","https://leetcode.com/problems/flatten-2d-vector/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","271. Encode and Decode Strings","https://leetcode.com/problems/encode-and-decode-strings/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","295. Find Median from Data Stream","https://leetcode.com/problems/find-median-from-data-stream/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","341. Flatten Nested List Iterator","https://leetcode.com/problems/flatten-nested-list-iterator/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","346. Moving Average from Data Stream","https://leetcode.com/problems/moving-average-from-data-stream/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","353. Design Snake Game","https://leetcode.com/problems/design-snake-game/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","359. Logger Rate Limiter","https://leetcode.com/problems/logger-rate-limiter/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","362. Design Hit Counter","https://leetcode.com/problems/design-hit-counter/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","379. Design Phone Directory","https://leetcode.com/problems/design-phone-directory/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","380. Insert Delete GetRandom O(1)","https://leetcode.com/problems/insert-delete-getrandom-o1/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","432. All O`one Data Structure","https://leetcode.com/problems/all-oone-data-structure/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","460. LFU Cache","https://leetcode.com/problems/lfu-cache/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","604. Design Compressed String Iterator","https://leetcode.com/problems/design-compressed-string-iterator/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","622. Design Circular Queue","https://leetcode.com/problems/design-circular-queue/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","641. Design Circular Deque","https://leetcode.com/problems/design-circular-deque/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","642. Design Search Autocomplete System","https://leetcode.com/problems/design-search-autocomplete-system/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","706. Design HashMap","https://leetcode.com/problems/design-hashmap/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","715. Range Module","https://leetcode.com/problems/range-module/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","900. RLE Iterator","https://leetcode.com/problems/rle-iterator/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","981. Time Based Key-Value Store","https://leetcode.com/problems/time-based-key-value-store/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","1146. Snapshot Array","https://leetcode.com/problems/snapshot-array/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","1348. Tweet Counts Per Frequency","https://leetcode.com/problems/tweet-counts-per-frequency/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","1352. Product of the Last K Numbers","https://leetcode.com/problems/product-of-the-last-k-numbers/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","1381. Design a Stack With Increment Operation","https://leetcode.com/problems/design-a-stack-with-increment-operation/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","1756. Design Most Recently Used Queue","https://leetcode.com/problems/design-most-recently-used-queue/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","2013. Detect Squares","https://leetcode.com/problems/detect-squares/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","2034. Stock Price Fluctuation","https://leetcode.com/problems/stock-price-fluctuation/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","2296. Design a Text Editor","https://leetcode.com/problems/design-a-text-editor/"
"XV. Design Patterns","Pattern 89: Design (General/Specific)","2336. Smallest Number in Infinite Set","https://leetcode.com/problems/smallest-number-in-infinite-set/"
